state,unemployment,year,Population,violent total,Murder,rape,Robbery,Aggravated assault,property total,Burglary,Larceny theft,vehicle theft
AZ,6.467,1987,3386000,612.6,7.5,41.2,138.4,425.5,6576,1626.1,4527.3,422.6
AZ,6.375,1988,3466000,610.1,8.5,38.8,137,425.8,6861.2,1580.3,4821.7,459.1
AZ,5.333,1989,3556000,599.6,6.7,36.2,139,417.7,7460.2,1667.2,5106.1,686.9
AZ,5.275,1990,3665228,652.4,7.7,40.9,160.9,442.8,7236.4,1669.9,4703,863.5
AZ,5.942,1991,3750000,670.7,7.8,42.4,165.7,454.8,6734.9,1607.5,4266.3,861.1
AZ,7.533,1992,3832000,670.8,8.1,43,153.1,466.6,6357.8,1411.7,4124.6,821.5
AZ,6.408,1993,3936000,715,8.6,37.8,162.9,505.7,6716.7,1465.5,4387.4,863.8
AZ,6.158,1994,4075000,703.1,10.5,36,162,494.7,7221.4,1476.2,4678.5,1066.7
AZ,5.358,1995,4218000,713.5,10.4,33.6,173.8,495.7,7500.1,1416.8,4925.6,1157.7
AZ,5.567,1996,4428000,631.5,8.5,31.2,167.8,424,6435.5,1256.3,4252.5,926.7
AZ,4.575,1997,4555000,623.7,8.2,32.8,165.7,417.1,6571.3,1318.9,4282,970.4
AZ,4.3,1998,4669000,577.9,8.1,31.1,165.2,373.6,5997,1209.5,3922.4,865.1
AZ,4.442,1999,4778332,551.1,8,28.9,152.5,361.6,5345,1034.3,3510.2,800.4
AZ,3.95,2000,5130632,531.7,7,30.7,146.3,347.7,5297.8,1011.6,3444.1,842.1
AZ,4.792,2001,5306966,540.3,7.5,28.6,167.1,337.1,5537.5,1033,3520.8,983.7
AZ,6.083,2002,5441125,554.5,7.1,29.6,147,370.8,5849.8,1085.9,3704,1059.9
AZ,5.742,2003,5579222,513.3,7.9,33.3,136.6,335.6,5634,1050.6,3561.9,1021.6
AZ,5.033,2004,5739879,504.4,7.2,33,134.5,329.6,5073.3,991,3118.7,963.5
AZ,4.683,2005,5953007,512,7.5,33.7,144.1,326.7,4827,946.2,2958,922
AZ,4.208,2006,6166318,542.6,8.6,39.7,153.9,340.3,4774.1,963.6,2891.9,918.7
AZ,3.858,2007,6338755,518,8.6,37.1,154,318.2,4532.6,946.4,2793.5,792.6
AZ,6.125,2008,6500180,485.6,7.1,33.8,150.9,293.8,4102.2,901.6,2607,593.6
AZ,9.933,2009,6595778,426.5,5.8,34.6,124.3,261.8,3589,823.4,2364.8,400.8
AZ,10.367,2010,6413158,413.6,6.4,34.2,108.4,264.7,3536.5,794.2,2403.4,338.9
AZ,9.5,2011,6467315,414.2,6.1,38.6,110.5,259,3554.7,845.7,2402.9,306.2
AZ,8.35,2012,6551149,428.6,5.5,34.8,112.7,275.6,3536.8,807.7,2439.4,289.8
AZ,7.767,2013,6634997,415.6,5.4,35.3,100.3,262.1,3365.4,727.8,2381.9,255.7
AZ,6.783,2014,6731484,399.9,4.7,36.6,92.8,252.1,3197.5,647.1,2289.1,261.3
AR,7,1976,2109000,303.9,10.1,24.2,76.7,192.9,3102.8,937.5,2013.9,151.4
AR,6.475,1977,2144000,322.9,8.8,27.6,83.2,203.4,3018.1,972.6,1862.1,183.4
AR,6.175,1978,2186000,344.1,9.1,23.1,80,231.9,3117.6,967.1,1950.9,199.6
AR,6.225,1979,2180000,366.2,9.1,27.3,74.6,255.3,3254.5,984.3,2076.5,193.8
AR,7.533,1980,2284037,335.2,9.2,26.7,80.9,218.4,3475.9,1119,2169.8,187.1
AR,8.75,1981,2294000,310.3,9.1,25.2,77.4,198.6,3486.1,1078.1,2221.4,186.6
AR,9.917,1982,2291000,324.7,8.2,27.1,78.8,210.6,3546.9,1071.5,2289.4,186
AR,9.875,1983,2328000,297.7,7.6,25.2,69.3,195.5,3202.9,961.3,2067.9,173.7
AR,8.725,1984,2349000,321.4,7.5,29.7,67.6,216.6,3046.1,885.9,1992.6,167.6
AR,8.7,1985,2359000,347.6,7.9,29.1,68.5,242,3237.5,941.4,2117.7,178.4
AR,8.567,1986,2372000,394.8,8.1,28.9,79.7,278.2,3529.9,1029.9,2305.1,194.9
AR,8.1,1987,2388000,412,7.6,32.6,79.1,292.6,3833.2,1078,2548.7,206.5
AR,7.617,1988,2422000,422.7,8.7,32.2,84.1,297.6,3796.9,1091.8,2492.3,212.9
AR,6.983,1989,2406000,473.7,8.4,38.4,110.6,316.3,4082,1194.4,2621.9,265.6
AR,6.9,1990,2350725,532.2,10.3,43.3,113.2,365.4,4334.7,1210.9,2834.4,289.4
AR,7.433,1991,2372000,593.3,11.1,44.6,135.6,401.9,4581.7,1226.5,3013.8,341.4
AR,7.1,1992,2399000,576.5,10.8,41.3,125.5,399,4185.2,1092.7,2763.2,329.3
AR,6.158,1993,2424000,593.3,10.2,42.4,124.9,415.8,4217.5,1099.3,2795.7,322.5
AR,5.358,1994,2453000,595.1,12,41.9,128.7,412.5,4203.6,1097.1,2791.6,315
AR,4.842,1995,2484000,553.2,10.4,37.2,125.7,379.8,4137.7,996.9,2815.4,325.4
AR,5.258,1996,2510000,524.3,8.7,41.7,114.1,359.8,4174.9,953.2,2908.8,312.9
AR,5.233,1997,2523000,526.9,9.9,43.5,111.5,361.9,4191.8,1013.4,2863.8,314.6
AR,5.175,1998,2538000,490.2,7.9,35.2,96.2,350.9,3793.2,928.3,2581.8,283.2
AR,4.6,1999,2551373,425.2,5.6,27.8,79.3,312.4,3617,850.2,2505.6,261.2
AR,4.258,2000,2673400,445.3,6.3,31.7,74.8,332.4,3670,802.1,2608.7,259.3
AR,4.958,2001,2694698,452.4,5.5,33.1,80.9,332.8,3677.8,823.7,2582.5,271.6
AR,5.483,2002,2706268,425,5.2,27.9,93.3,298.6,3738.4,858.3,2628.3,251.7
AR,5.933,2003,2727774,456.4,6.6,33.4,81.6,334.7,3632.4,917.1,2495.1,220.2
AR,5.708,2004,2750000,502.3,6.4,43,86.3,366.7,4033.1,1096.4,2699.7,237
AR,5.25,2005,2775708,528,6.8,43.3,91.2,387.2,4068,1085.1,2720,262
AR,5.158,2006,2810872,552.8,7.3,47.1,97.8,400.6,3985.4,1133.6,2584.5,267.4
AR,5.308,2007,2834797,537.1,7,45.6,109.5,374.9,3955.5,1130.1,2578.5,246.9
AR,5.467,2008,2855390,513,5.8,51.2,97.3,358.8,3865,1187.6,2448.2,229.1
AR,7.85,2009,2889450,515.8,6.2,47.7,89.2,372.8,3775,1202.8,2361.3,211
AR,8.192,2010,2921588,503.5,4.6,45.2,81.1,372.6,3553.5,1111.1,2252.1,190.3
AR,8.308,2011,2938582,482.3,5.4,41.9,80.2,354.8,3757.9,1157.6,2404.1,196.3
AR,7.575,2012,2949828,469.6,5.9,41.8,78.3,343.5,3708.3,1107.6,2406.3,194.4
AR,7.25,2013,2958765,463.2,5.3,38.4,76.4,331.1,3598.7,1026.4,2380.4,191.9
AR,6.025,2014,2966369,480.1,5.6,39.8,69.1,346,3338,835.7,2313.5,188.8
CA,9.15,1976,21520000,669.3,10.3,44.7,275.6,338.7,6564.7,2174.6,3745.8,644.3
CA,8.35,1977,21896000,706,11.5,49.4,287,358,6302.7,2139.4,3499.8,663.5
CA,7.158,1978,22294000,742.9,11.7,50.8,306.1,374.4,6373.3,2193.3,3488.8,691.3
CA,6.233,1979,22696000,811.1,13,53.9,333.8,410.3,6657.7,2186.8,3732.6,738.3
CA,6.833,1980,23532680,893.6,14.5,58.2,384.2,436.7,6939.5,2316.5,3880,742.9
CA,7.417,1981,24159000,863,13,56.2,388.2,405.6,6727.5,2238.5,3816.1,672.9
CA,9.942,1982,24724000,814.7,11.2,50.7,372.1,380.7,6470.7,2020.2,3785.1,665.5
CA,9.792,1983,25174000,772.6,10.5,48,340.9,373.1,5904.9,1829.1,3444.5,631.2
CA,7.767,1984,25622000,763.4,10.6,45.7,327.5,379.5,5705,1729.3,3346.1,629.6
CA,7.192,1985,26365000,765.3,10.5,43.3,327.7,383.8,5752.7,1701.1,3379.4,672.2
CA,6.717,1986,26981000,920.5,11.3,44.9,342.9,521.5,5842.3,1696.4,3383.9,762
CA,5.8,1987,27663000,918,10.6,43.8,301.3,562.4,5588.4,1518.2,3240.2,830.1
CA,5.308,1988,28168000,929.8,10.4,41.8,305.8,571.8,5705.7,1447.1,3314.5,944
CA,5.117,1989,29063000,977.7,10.9,41.2,331.8,593.8,5785.8,1412.3,3346.5,1026.9
CA,5.758,1990,29760021,1045.2,11.9,42.6,377,613.6,5558.4,1345.4,3197.5,1015.5
CA,7.692,1991,30380000,1089.9,12.7,42.4,411.3,623.5,5682.7,1397.8,3246,1038.9
CA,9.308,1992,30867000,1119.7,12.7,41.3,424.1,641.6,5559.8,1384.9,3137.8,1037.1
CA,9.467,1993,31211000,1077.8,13.1,37.7,405.1,621.8,5379.1,1327,3029.1,1023
CA,8.592,1994,31431000,1013,11.8,34.9,356.8,609.4,5160.8,1222.5,2957.7,980.6
CA,7.858,1995,31589000,966,11.2,33.4,331.2,590.3,4865.1,1120.3,2856.9,887.9
CA,7.283,1996,31878000,862.7,9.1,32.1,295.6,525.8,4345.1,979.4,2605.1,760.6
CA,6.367,1997,32268000,798.3,8,31.6,252.5,506.2,4067.1,927.4,2430.9,708.8
CA,5.942,1998,32667000,703.7,6.6,29.9,210.6,456.6,3639.1,823.5,2217.1,598.5
CA,5.242,1999,33145121,627.2,6,28.2,181.1,411.7,3177.8,675.3,1994.2,508.3
CA,4.942,2000,33871648,621.6,6.1,28.9,177.9,408.7,3118.2,656.3,1924.5,537.4
CA,5.433,2001,34600463,615.2,6.4,28.8,186.7,393.3,3278,671.3,2016.6,590.1
CA,6.667,2002,35001986,595.4,6.8,29.1,185.6,373.8,3361.2,681.2,2044.7,635.3
CA,6.8,2003,35462712,579.6,6.8,28.2,179.8,364.8,3426.4,683.2,2062.7,680.5
CA,6.208,2004,35842038,527.8,6.7,26.8,172.3,322,3423.9,686.1,2033.1,704.8
CA,5.4,2005,36154147,526,6.9,26,176,317.1,3321,692.9,1915,712
CA,4.9,2006,36457549,533.5,6.8,25.3,195.1,306.2,3181.7,678.1,1835.3,668.3
CA,5.375,2007,36553215,524.1,6.2,24.7,193.4,299.7,3043.5,650.7,1790.6,602.2
CA,7.275,2008,36756666,504.2,5.8,24.2,188.8,285.4,2941,647,1770.2,523.8
CA,11.142,2009,36961664,473.3,5.3,23.6,173.4,271,2731,622.8,1665,443.3
CA,12.225,2010,37338198,439.6,4.8,22.3,155.6,256.8,2629.9,612.9,1608.4,408.5
CA,11.717,2011,37683933,411.2,4.8,20.3,144.1,242,2584.2,610.5,1584,389.7
CA,10.375,2012,37999878,423.5,5,20.6,148.7,249.2,2761.8,646.8,1671.3,443.7
CA,8.933,2013,38431393,402.6,4.5,19.4,139.6,231.7,2651.2,603.8,1617.3,430.1
CA,7.5,2014,38802500,396.1,4.4,21.6,125.5,236.6,2441.1,522.3,1527.4,391.3
CO,5.825,1976,2583000,417,6.8,33.8,139.7,236.7,6365.4,1879.9,4043.5,442
CO,6.367,1977,2619000,511.9,6.3,42,170.7,292.9,6315.6,1935.2,3903.2,477.1
CO,5.55,1978,2670000,498,7.3,49.6,159.2,281.9,6334.5,1869.6,3977,487.9
CO,4.758,1979,2772000,522.1,5.8,53.1,157,306.1,6529,1794.4,4253.2,481.4
CO,5.792,1980,2878407,528.6,6.9,52.5,160.1,309.2,6804.9,2030.8,4325.8,448.3
CO,5.758,1981,2963000,531.7,8.1,45.6,159.5,318.5,6821.4,2031.6,4375.9,413.9
CO,7.333,1982,3045000,504.2,6,44.5,150.6,303.1,6575.7,1749.1,4429.3,397.3
CO,7.108,1983,3139000,476.4,6.4,41.9,126.4,301.7,6150.7,1532.4,4245.7,372.7
CO,5.442,1984,3178000,457.8,5.8,39,114,299,6013.3,1561.3,4054.7,397.3
CO,6.075,1985,3231000,471,5.8,40.9,124.2,300.1,6448,1748.1,4267,432.9
CO,7.517,1986,3267000,523.6,7,42.3,144.8,329.4,6508.3,1791.6,4230.8,486
CO,7.558,1987,3296000,467.5,5.8,40.8,118.8,302.1,5983.8,1534.6,4012.9,436.3
CO,6.508,1988,3290000,472.6,5.7,38.6,98.8,329.5,5705.7,1383.1,3900.6,422
CO,5.683,1989,3317000,471.4,4.4,36.2,90,340.8,5568,1250.4,3864.8,452.9
CO,5.225,1990,3294394,526,4.2,46.2,90.6,385,5527.8,1208.8,3890.6,428.4
CO,5.242,1991,3377000,559.3,5.9,47,107.4,398.9,5514.8,1158.3,3930,426.4
CO,5.992,1992,3470000,578.8,6.2,47.3,120.5,404.9,5379.9,1090.9,3780.1,509
CO,5.317,1993,3566000,567.3,5.8,45.8,116.7,399,4959.5,1009.8,3499.4,450.3
CO,4.258,1994,3656000,509.6,5.4,43.2,106.9,354,4808.8,925.7,3490.2,392.9
CO,4.025,1995,3747000,440.2,5.8,39.5,96.2,298.7,4956.1,934.1,3634.5,387.5
CO,4.242,1996,3823000,404.5,4.7,46.2,98.2,255.4,4714,900.8,3415.5,397.8
CO,3.475,1997,3893000,363.2,4,43.1,83.3,232.8,4287.2,796.1,3077.3,413.7
CO,3.633,1998,3971000,377.9,4.6,47.4,81.5,244.4,4109.5,786.5,2917.9,405.1
CO,3.075,1999,4056133,340.5,4.6,41.4,75.3,219.2,3722.8,665.1,2692.9,364.8
CO,2.758,2000,4301261,334,3.1,41.2,70.5,219.1,3648.6,630.8,2623.5,394.3
CO,3.8,2001,4430989,349.6,3.6,43.6,80.2,222.3,3856.6,643.9,2738.9,473.8
CO,5.533,2002,4501051,352.9,4,45.9,79.5,223.5,4000.3,703.8,2781.4,515.1
CO,5.958,2003,4547633,346.5,4.1,42.1,82.2,218.2,3951.6,712.3,2737.6,501.7
CO,5.483,2004,4601821,372,4.4,42.3,81.3,244.2,3918.5,717.3,2679.5,521.6
CO,5.025,2005,4663295,397,3.7,43.4,84.7,264.9,4041,745.1,2736,560
CO,4.308,2006,4753377,395.4,3.6,45.4,80.4,265.9,3438.4,681.9,2322,434.6
CO,3.733,2007,4861515,351.8,3.2,42.7,71.2,234.7,2999.2,589,2067.6,342.6
CO,4.825,2008,4939456,353.9,3.3,43.5,68.9,238.1,2821,568,1982.7,270.3
CO,7.283,2009,5024748,338.8,3.2,45.2,67.1,223.4,2670.7,530.1,1892.2,248.4
CO,8.725,2010,5047692,323.7,2.6,44.2,62.7,214.3,2674.5,519,1932.2,223.3
CO,8.358,2011,5116302,314.4,3,44.7,64.5,202.2,2595.3,502.8,1877.4,215
CO,7.875,2012,5189458,307.4,2.9,40.9,65.4,198.2,2685.3,504.2,1948,233.2
CO,6.858,2013,5272086,305.4,3.3,41.7,59.5,186.4,2655,475.6,1941.8,237.6
CO,4.992,2014,5355866,309.1,2.8,39.6,56.7,192.8,2530.1,438.2,1857.1,234.8
CT,9.292,1976,3117000,273.2,3.1,14.4,122.9,132.8,4731.4,1383.9,2785.8,561.8
CT,7,1977,3108000,282.3,4.2,16.8,129.5,131.8,4559.8,1346,2620.7,593.2
CT,5.233,1978,3099000,315,4.2,17.2,154.8,138.8,4614.5,1362,2597.6,654.9
CT,5.142,1979,3115000,414.2,4.2,24.1,193.3,192.6,5365.4,1548.3,3113.9,703.2
CT,5.8,1980,3095224,412.5,4.7,21.6,218,168.1,5469.2,1700.6,3089.6,678.9
CT,6.175,1981,3132000,448.1,5.4,21.9,246.1,174.6,5389.2,1691.9,3094.7,602.6
CT,6.842,1982,3153000,399.5,5.2,21.9,208.5,163.9,5028,1410.8,3065,552.2
CT,6.017,1983,3138000,375,4.1,20,200.6,150.3,4602.8,1274.3,2849.6,478.9
CT,4.667,1984,3154000,393.8,3.9,24.1,190.5,175.4,4235,1128.9,2683.3,422.8
CT,4.733,1985,3174000,402,3.8,24,190,184.1,4302.8,1135.5,2726,441.3
CT,3.85,1986,3189000,425.8,4.6,23.8,192.2,205.1,4403,1197.6,2758.3,447.1
CT,3.367,1987,3211000,419,4.9,24.9,178.1,211.1,4576.7,1218.3,2829.4,529
CT,2.942,1988,3241000,455.4,5.4,26.2,187.6,236.2,4642.2,1218,2810.2,614
CT,3.75,1989,3239000,511.8,5.9,27.5,214.8,263.6,4758.2,1236,2824.4,697.8
CT,5.125,1990,3287116,553.7,5.1,27.9,234.8,286,4833,1227.7,2874.4,730.9
CT,6.542,1991,3291000,539.7,5.7,29.2,224.4,280.5,4824.4,1191.1,2837.6,795.7
CT,7.542,1992,3281000,495.3,5.1,26.9,210.9,252.5,4557.6,1108.6,2726.7,722.3
CT,6.633,1993,3277000,456.2,6.3,24.4,196.7,228.7,4194.2,978.1,2620.6,595.5
CT,5.6,1994,3275000,455.5,6.6,24.6,187.8,236.5,4092.5,889.8,2586.9,615.8
CT,5.475,1995,3275000,405.9,4.6,23.7,163.2,214.4,4097.3,888.4,2668.7,540.2
CT,5.492,1996,3274000,412,4.8,23.1,169.6,214.6,3815.6,842.2,2484.1,489.4
CT,5,1997,3270000,390.9,3.8,22.6,152.9,211.6,3593.4,738.3,2410.4,444.7
CT,3.442,1998,3274000,366.3,4.1,22.2,133.8,206.2,3420.2,665.9,2366.3,388.1
CT,2.867,1999,3282031,345.6,3.3,19.9,123.5,198.9,3043.7,588,2111.5,344.2
CT,2.392,2000,3405565,324.7,2.9,19.9,112.5,189.4,2908,512,2011.4,384.6
CT,3.133,2001,3434602,334.6,3.1,18.6,121.8,191.1,2774.7,499.6,1914.7,360.4
CT,4.333,2002,3458587,312.5,2.4,21.4,117.6,171,2701.3,494.7,1871.7,334.8
CT,5.392,2003,3486960,316.8,3.2,20,120.8,172.7,2666.5,460.1,1880.4,326.1
CT,4.967,2004,3498966,289,2.9,21.6,119.7,144.9,2684.9,456.1,1908.3,320.5
CT,4.883,2005,3500701,273,3,20.3,112.3,136.9,2579,435.5,1840,303
CT,4.333,2006,3504809,299.7,3.9,19.9,127.3,148.7,2586.1,444.6,1847.9,293.6
CT,4.475,2007,3502309,301.1,3.2,19.7,122.9,155.4,2470.6,446.6,1739.9,284.1
CT,5.683,2008,3501252,306.7,3.8,19.4,115.5,168,2490.8,431.5,1805.4,253.9
CT,7.933,2009,3518288,300.9,3,18.7,113.7,165.5,2348.4,431.2,1705.1,212.1
CT,9.108,2010,3575498,282,3.7,16.6,99.4,162.3,2188.8,423.6,1577.8,187.4
CT,8.808,2011,3586717,275.7,3.6,19.2,102.9,150.1,2152.5,431.3,1535.3,186
CT,8.342,2012,3591765,283.5,3.3,26,103.3,151,2148.5,411.7,1556.4,180.4
CT,7.792,2013,3599341,262.2,2.5,18,98.7,136.3,1980.2,359.3,1447.5,173.4
CT,6.617,2014,3596677,236.9,2.4,15.9,87.8,125,1920.4,332.4,1418.1,169.9
DE,8.742,1976,582000,321.6,6.2,17.7,128.7,169.1,5942.8,1542.6,3915.8,484.4
